"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url"
"Wed Feb 07 11:05:59 +0000 2024","1.76E+18","emang brengsek partai fasis yang satu itu, kemaren rohingya sekarang sodara sendiri bangsatt","0","0","0","0","in","3031978014","1.76E+18","rzqIlh","https://twitter.com/rzqIlh/status/1755186138971861423"
"Wed Feb 07 11:05:29 +0000 2024","1.76E+18","@The_RedsIndo @txtdrkeylie Jangan diganggu, ini orang rohingya baru nyari makan ya","0","0","0","0","in","3272490313","1.76E+18","adityaadha0","https://twitter.com/adityaadha0/status/1755186010483560941"
"Wed Feb 07 11:05:16 +0000 2024","1.76E+18","Jumlah tangkapan setakat jam 6 petang tadi seramai 98 orang dan berbaki 31 lagi masih diburu.  Terdahulu 131 pendatang tanpa izin yang terdiri dari etnik Rohingya, Myanmar dan Bangladesh melarikan diri dari blok lelaki Depot Tahanan Imigresen Sementara Bidor Khamis lepas.","0","0","0","0","in","196460981","1.76E+18","BernamaTV","https://twitter.com/BernamaTV/status/1755185955261300871"
"Wed Feb 07 11:02:25 +0000 2024","1.76E+18","â€œBukan memasak untuk Rohingyaâ€  Miris banget miris kebencian sama rohingya ini udah ga bisa dibendung lagi, padahal sama-sama korban genosida","0","0","0","0","in","2957336665","1.76E+18","dutmpling","https://twitter.com/dutmpling/status/1755185238656073917"
"Wed Feb 07 10:57:12 +0000 2024","1.76E+18","WOI ROHINGYA JUGA MAKAN DIKASIH DUITNYA DARI PBB ANJIM BUKAN INDO.","0","0","0","0","in","9.32E+17","1.76E+18","bbakamarimo","https://twitter.com/bbakamarimo/status/1755183928301011021"
"Wed Feb 07 10:54:22 +0000 2024","1.76E+18","Berlaku insiden kejar mengejar dengan pihak berkuasa dalam jarak 500 meter #malaysiagazette #MGPerak #malaysiagazetteperak #PATI #rohingya   https://t.co/S32nPRXquH","0","0","0","0","in","1.68E+18","1.76E+18","MgPerak","https://twitter.com/MgPerak/status/1755183211641188498"
"Wed Feb 07 10:40:27 +0000 2024","1.76E+18","@meinmokhtar Lps tu taknak bg cina, dia bagi bangla/rohingya hahahahahhaa","0","0","0","1","in","24139207","1.76E+18","badonkadoinkkk","https://twitter.com/badonkadoinkkk/status/1755179709590327537"
"Wed Feb 07 10:36:27 +0000 2024","1.76E+18","@dillawwwww Ga ada guna nonton konten yg ngasih  makan saudara2 di Papua sambil framing isu Rohingya segala.  ðŸš©ðŸš©ðŸš©","0","0","0","8","in","79075513","1.75E+18","mhdlma","https://twitter.com/mhdlma/status/1755178703183847843"
"Wed Feb 07 10:36:06 +0000 2024","1.76E+18","@The_RedsIndo @txtdrkeylie Rohingya yang udah lama di indonesia","0","0","0","0","in","1.52E+18","1.76E+18","Urbrain99","https://twitter.com/Urbrain99/status/1755178618417004638"
"Wed Feb 07 10:30:39 +0000 2024","1.76E+18","@MorphoMenelausX Wkwkwk lucu bgttt","0","0","0","0","in","1.18E+18","1.76E+18","lemonirale","https://twitter.com/lemonirale/status/1755177244052598952"
"Wed Feb 07 10:26:29 +0000 2024","1.76E+18","Perak police chief Comm Datuk Seri Mohd Yusri Hassan Basri said seven Rohingya were caught at a Felcra plantation on Jalan Kachu, Tapah at about 3pm on Wednesday (Feb 7). https://t.co/B933wnmJsK https://t.co/B933wnmJsK","0","1","1","6","in","22594051","1.76E+18","staronline","https://twitter.com/staronline/status/1755176198559113722"
"Wed Feb 07 10:25:33 +0000 2024","1.76E+18","@markieefiance Nggak kaget, udah biasa Rasis sama Rohingya dan India. Inferiority kita pada orang putih udah kayak bom waktu. Ketika merasa ada kesempatan buat superior pasti langsung hajar.","1","5","25","263","in","1.52E+18","1.76E+18","YuliKri18756718","https://twitter.com/YuliKri18756718/status/1755175959949619202"
"Wed Feb 07 10:17:57 +0000 2024","1.76E+18","Jumlah tangkapan setakat jam 6 petang tadi seramai 98 orang dan berbaki 31 lagi masih diburu.  Terdahulu 131 pendatang tanpa izin yang terdiri dari etnik Rohingya, Myanmar dan Bangladesh melarikan diri dari blok lelaki Depot Tahanan Imigresen Sementara Bidor Khamis lepas.","0","0","0","1","in","196460981","1.76E+18","BernamaTV","https://twitter.com/BernamaTV/status/1755174050148843722"
